4 5
23 85 457
23 86 458
24 84 459
24 85 457
25 83 458
25 84 459
26 82 457
26 83 458
27 81 459
27 82 457
28 80 458
28 81 459
29 79 457
29 80 458
30 78 459
30 79 457
31 77 458
31 78 459
32 76 457
32 77 458
33 75 459
33 76 457
34 74 458
34 75 459
35 73 457
35 74 458
36 72 459
36 73 457
37 71 458
37 72 459
38 70 457
38 71 458
39 69 459
39 70 457
40 68 458
40 69 459
41 67 457
41 68 458
42 66 459
42 67 457
43 65 458
43 66 459
44 64 457
44 65 458
45 63 459
45 64 457
46 62 458
46 63 459
47 61 457
47 62 458
48 60 459
48 61 457
49 59 458
49 60 459
50 58 457
50 59 458
51 57 459
51 58 457
52 56 458
52 57 459
53 55 457
53 56 458
54 55 459
1 9 500
1 10 556
2 8 557
2 9 555
3 7 556
3 8 557
4 6 555
4 7 556
5 6 557
10 100 555
11 99 556
11 100 557
12 98 555
12 99 556
13 97 557
13 98 555
14 96 556
14 97 557
15 95 555
15 96 556
16 94 557
16 95 555
17 93 556
17 94 557
18 92 555
18 93 556
19 91 557
19 92 555
20 90 556
20 91 557
21 89 555
21 90 556
22 88 557
22 89 555
23 87 556
23 88 557
24 86 555
24 87 556
25 85 557
25 86 555
26 84 556
26 85 557
27 83 555
27 84 556
28 82 557
28 83 555
29 81 556
29 82 557
30 80 555
30 81 556
31 79 557
31 80 555
32 78 556
32 79 557
33 77 555
33 78 556
34 76 557
34 77 555
35 75 556
35 76 557
36 74 555
36 75 556
37 73 557
37 74 555
38 72 556
38 73 557
39 71 555
39 72 556
40 70 557
40 71 555
41 69 556
41 70 557
42 68 555
42 69 556
43 67 557
43 68 555
44 66 556
44 67 557
45 65 555
45 66 556
46 64 557
46 65 555
47 63 556
47 64 557
48 62 555
48 63 556
49 61 557
49 62 555
50 60 556
50 61 557
51 59 555
51 60 556
52 58 557
52 59 555
53 57 556
53 58 557
54 56 555
54 57 556
55 56 557
1 11 600
1 12 654
2 10 655
2 11 653
3 9 654
3 10 655
4 8 653
4 9 654
5 7 655
5 8 653
6 7 654
12 100 655
13 99 653
13 100 654
14 98 655
14 99 653
15 97 654
15 98 655
16 96 653
16 97 654
17 95 655
17 96 653
18 94 654
18 95 655
19 93 653
19 94 654
20 92 655
20 93 653
21 91 654
21 92 655
22 90 653
22 91 654
23 89 655
23 90 653
24 88 654
24 89 655
25 87 653
25 88 654
26 86 655
26 87 653
27 85 654
27 86 655
28 84 653
28 85 654
29 83 655
29 84 653
30 82 654
30 83 655
31 81 653
31 82 654
32 80 655
32 81 653
33 79 654
33 80 655
34 78 653
34 79 654
35 77 655
35 78 653
36 76 654
36 77 655
37 75 653
37 76 654
38 74 655
38 75 653
39 73 654
39 74 655
40 72 653
40 73 654
41 71 655
41 72 653
42 70 654
42 71 655
43 69 653
43 70 654
44 68 655
44 69 653
45 67 654
45 68 655
46 66 653
46 67 654
47 65 655
47 66 653
48 64 654
48 65 655
49 63 653
49 64 654
50 62 655
50 63 653
51 61 654
51 62 655
52 60 653
52 61 654
53 59 655
53 60 653
54 58 654
54 59 655
55 57 653
55 58 654
56 57 655
1 13 700
1 14 752
2 12 753
2 13 751
3 11 752
3 12 753
4 10 751
4 11 752
5 9 753
5 10 751
6 8 752
6 9 753
7 8 751
14 100 752
15 99 753
15 100 751
16 98 752
16 99 753
17 97 751
17 98 752
18 96 753
18 97 751
19 95 752
19 96 753
20 94 751
20 95 752
21 93 753
21 94 751
22 92 752
22 93 753
23 91 751
23 92 752
24 90 753
24 91 751
25 89 752
25 90 753
26 88 751
26 89 752
27 87 753
27 88 751
28 86 752
28 87 753
29 85 751
29 86 752
30 84 753
30 85 751
31 83 752
31 84 753
32 82 751
32 83 752
33 81 753
33 82 751
34 80 752
34 81 753
35 79 751
35 80 752
36 78 753
36 79 751
37 77 752
37 78 753
38 76 751
38 77 752
39 75 753
39 76 751
40 74 752
40 75 753
41 73 751
41 74 752
42 72 753
42 73 751
43 71 752
43 72 753
44 70 751
44 71 752
45 69 753
45 70 751
46 68 752
46 69 753
47 67 751
47 68 752
48 66 753
48 67 751
49 65 752
49 66 753
50 64 751
50 65 752
51 63 753
51 64 751
52 62 752
52 63 753
53 61 751
53 62 752
54 60 753
54 61 751
55 59 752
55 60 753
56 58 751
56 59 752
57 58 753
1 15 800
1 16 850
2 14 851
2 15 849
3 13 850
3 14 851
4 12 849
4 13 850
5 11 851
5 12 849
6 10 850
6 11 851
7 9 849
7 10 850
8 9 851
16 100 849
17 99 850
17 100 851
18 98 849
18 99 850
19 97 851
19 98 849
20 96 850
20 97 851
21 95 849
21 96 850
22 94 851
22 95 849
23 93 850
23 94 851
24 92 849
24 93 850
25 91 851
25 92 849
26 90 850
26 91 851
27 89 849
27 90 850
28 88 851
28 89 849
29 87 850
29 88 851
30 86 849
30 87 850
31 85 851
31 86 849
32 84 850
32 85 851
33 83 849
33 84 850
34 82 851
34 83 849
35 81 850
35 82 851
36 80 849
36 81 850
37 79 851
37 80 849
38 78 850
38 79 851
39 77 849
39 78 850
40 76 851
40 77 849
41 75 850
41 76 851
42 74 849
42 75 850
43 73 851
43 74 849
44 72 850
44 73 851
45 71 849
45 72 850
46 70 851
46 71 849
47 69 850
47 70 851
48 68 849
48 69 850
49 67 851
49 68 849
50 66 850
50 67 851
51 65 849
51 66 850
52 64 851
52 65 849
53 63 850
53 64 851
54 62 849
54 63 850
55 61 851
55 62 849
56 60 850
56 61 851
57 59 849
57 60 850
58 59 851
1 17 900
1 18 948
2 16 949
2 17 947
3 15 948
3 16 949
4 14 947
4 15 948
5 13 949
5 14 947
6 12 948
6 13 949
7 11 947
7 12 948
8 10 949
8 11 947
9 10 948
18 100 949
19 99 947
19 100 948
20 98 949
20 99 947
21 97 948
21 98 949
22 96 947
22 97 948
23 95 949
23 96 947
24 94 948
24 95 949
25 93 947
25 94 948
26 92 949
26 93 947
27 91 948
27 92 949
28 90 947
28 91 948
29 89 949
29 90 947
30 88 948
30 89 949
31 87 947
31 88 948
32 86 949
32 87 947
33 85 948
33 86 949
34 84 947
34 85 948
35 83 949
35 84 947
36 82 948
36 83 949
37 81 947
37 82 948
38 80 949
38 81 947
39 79 948
39 80 949
40 78 947
40 79 948
41 77 949
41 78 947
42 76 948
42 77 949
43 75 947
43 76 948
44 74 949
44 75 947
45 73 948
45 74 949
46 72 947
46 73 948
47 71 949
47 72 947
48 70 948
48 71 949
49 69 947
49 70 948
50 68 949
50 69 947
51 67 948
51 68 949
52 66 947
52 67 948
53 65 949
53 66 947
54 64 948
54 65 949
55 63 947
55 64 948
56 62 949
56 63 947
57 61 948
57 62 949
58 60 947
58 61 948
59 60 949
1 19 1000
1 20 1046
2 18 1047
2 19 1045
3 17 1046
3 18 1047
4 16 1045
4 17 1046
5 15 1047
5 16 1045
6 14 1046
6 15 1047
7 13 1045
7 14 1046
8 12 1047
8 13 1045
9 11 1046
9 12 1047
10 11 1045
20 100 1046
21 99 1047
21 100 1045
22 98 1046
22 99 1047
23 97 1045
23 98 1046
24 96 1047
24 97 1045
25 95 1046
25 96 1047
26 94 1045
26 95 1046
27 93 1047
27 94 1045
28 92 1046
28 93 1047
29 91 1045
29 92 1046
30 90 1047
30 91 1045
31 89 1046
31 90 1047
32 88 1045
32 89 1046
33 87 1047
33 88 1045
34 86 1046
34 87 1047
35 85 1045
35 86 1046
36 84 1047
36 85 1045
37 83 1046
37 84 1047
38 82 1045
38 83 1046
39 81 1047
39 82 1045
40 80 1046
40 81 1047
41 79 1045
41 80 1046
42 78 1047
42 79 1045
43 77 1046
43 78 1047
44 76 1045
44 77 1046
45 75 1047
45 76 1045
46 74 1046
46 75 1047
47 73 1045
47 74 1046
48 72 1047
48 73 1045
49 71 1046
49 72 1047
50 70 1045
50 71 1046
51 69 1047
51 70 1045
52 68 1046
52 69 1047
53 67 1045
53 68 1046
54 66 1047
54 67 1045
55 65 1046
55 66 1047
56 64 1045
56 65 1046
57 63 1047
57 64 1045
58 62 1046
58 63 1047
59 61 1045
59 62 1046
60 61 1047
1 21 1100
1 22 1144
2 20 1145
2 21 1143
3 19 1144
3 20 1145
4 18 1143
4 19 1144
5 17 1145
5 18 1143
6 16 1144
6 17 1145
7 15 1143
7 16 1144
8 14 1145
8 15 1143
9 13 1144
9 14 1145
10 12 1143
10 13 1144
11 12 1145
22 100 1143
23 99 1144
23 100 1145
24 98 1143
24 99 1144
25 97 1145
25 98 1143
26 96 1144
26 97 1145
27 95 1143
27 96 1144
28 94 1145
28 95 1143
29 93 1144
29 94 1145
30 92 1143
30 93 1144
31 91 1145
31 92 1143
32 90 1144
32 91 1145
33 89 1143
33 90 1144
34 88 1145
34 89 1143
35 87 1144
35 88 1145
36 86 1143
36 87 1144
37 85 1145
37 86 1143
38 84 1144
38 85 1145
39 83 1143
39 84 1144
40 82 1145
40 83 1143
41 81 1144
41 82 1145
42 80 1143
42 81 1144
43 79 1145
43 80 1143
44 78 1144
44 79 1145
45 77 1143
45 78 1144
46 76 1145
46 77 1143
47 75 1144
47 76 1145
48 74 1143
48 75 1144
49 73 1145
49 74 1143
50 72 1144
50 73 1145
51 71 1143
51 72 1144
52 70 1145
52 71 1143
53 69 1144
53 70 1145
54 68 1143
54 69 1144
55 67 1145
55 68 1143
56 66 1144
56 67 1145
57 65 1143
57 66 1144
58 64 1145
58 65 1143
59 63 1144
59 64 1145
60 62 1143
60 63 1144
61 62 1145
1 23 1200
1 24 1242
2 22 1243
2 23 1241
3 21 1242
3 22 1243
4 20 1241
4 21 1242
5 19 1243
5 20 1241
6 18 1242
6 19 1243
7 17 1241
7 18 1242
8 16 1243
8 17 1241
9 15 1242
9 16 1243
10 14 1241
10 15 1242
11 13 1243
11 14 1241
12 13 1242
24 100 1243
25 99 1241
25 100 1242
26 98 1243
26 99 1241
27 97 1242
27 98 1243
28 96 1241
28 97 1242
29 95 1243
29 96 1241
30 94 1242
30 95 1243
31 93 1241
31 94 1242
32 92 1243
32 93 1241
33 91 1242
33 92 1243
34 90 1241
34 91 1242
35 89 1243
35 90 1241
36 88 1242
36 89 1243
37 87 1241
37 88 1242
38 86 1243
38 87 1241
39 85 1242
39 86 1243
40 84 1241
40 85 1242
41 83 1243
41 84 1241
42 82 1242
42 83 1243
43 81 1241
43 82 1242
44 80 1243
44 81 1241
45 79 1242
45 80 1243
46 78 1241
46 79 1242
47 77 1243
47 78 1241
48 76 1242
48 77 1243
49 75 1241
49 76 1242
50 74 1243
50 75 1241
51 73 1242
51 74 1243
52 72 1241
52 73 1242
53 71 1243
53 72 1241
54 70 1242
54 71 1243
55 69 1241
55 70 1242
56 68 1243
56 69 1241
57 67 1242
57 68 1243
58 66 1241
58 67 1242
59 65 1243
59 66 1241
60 64 1242
60 65 1243
61 63 1241
61 64 1242
62 63 1243
1 25 1300
1 26 1340
2 24 1341
2 25 1339
3 23 1340
3 24 1341
4 22 1339
4 23 1340
5 21 1341
5 22 1339
6 20 1340
6 21 1341
7 19 1339
7 20 1340
8 18 1341
8 19 1339
9 17 1340
9 18 1341
10 16 1339
10 17 1340
11 15 1341
11 16 1339
12 14 1340
12 15 1341
13 14 1339
26 100 1340
27 99 1341
27 100 1339
28 98 1340
28 99 1341
29 97 1339
29 98 1340
30 96 1341
30 97 1339
31 95 1340
31 96 1341
32 94 1339
32 95 1340
33 93 1341
33 94 1339
34 92 1340
34 93 1341
35 91 1339
35 92 1340
36 90 1341
36 91 1339
37 89 1340
37 90 1341
38 88 1339
38 89 1340
39 87 1341
39 88 1339
40 86 1340
40 87 1341
41 85 1339
41 86 1340
42 84 1341
42 85 1339
43 83 1340
43 84 1341
44 82 1339
44 83 1340
45 81 1341
45 82 1339
46 80 1340
46 81 1341
47 79 1339
47 80 1340
48 78 1341
48 79 1339
49 77 1340
49 78 1341
50 76 1339
50 77 1340
51 75 1341
51 76 1339
52 74 1340
52 75 1341
53 73 1339
53 74 1340
54 72 1341
54 73 1339
55 71 1340
55 72 1341
56 70 1339
56 71 1340
57 69 1341
57 70 1339
58 68 1340
58 69 1341
59 67 1339
59 68 1340
60 66 1341
60 67 1339
61 65 1340
61 66 1341
62 64 1339
62 65 1340
63 64 1341
1 27 1400
1 28 1438
2 26 1439
2 27 1437
3 25 1438
3 26 1439
4 24 1437
4 25 1438
5 23 1439
5 24 1437
6 22 1438
6 23 1439
7 21 1437
7 22 1438
8 20 1439
8 21 1437
9 19 1438
9 20 1439
10 18 1437
10 19 1438
11 17 1439
11 18 1437
12 16 1438
12 17 1439
13 15 1437
13 16 1438
14 15 1439
28 100 1437
29 99 1438
29 100 1439
30 98 1437
30 99 1438
31 97 1439
31 98 1437
32 96 1438
32 97 1439
33 95 1437
33 96 1438
34 94 1439
34 95 1437
35 93 1438
35 94 1439
36 92 1437
36 93 1438
37 91 1439
37 92 1437
38 90 1438
38 91 1439
39 89 1437
39 90 1438
40 88 1439
40 89 1437
41 87 1438
41 88 1439
42 86 1437
42 87 1438
43 85 1439
43 86 1437
44 84 1438
44 85 1439
45 83 1437
45 84 1438
46 82 1439
46 83 1437
47 81 1438
47 82 1439
48 80 1437
48 81 1438
49 79 1439
49 80 1437
50 78 1438
50 79 1439
51 77 1437
51 78 1438
52 76 1439
52 77 1437
53 75 1438
53 76 1439
54 74 1437
54 75 1438
55 73 1439
55 74 1437
56 72 1438
56 73 1439
57 71 1437
57 72 1438
58 70 1439
58 71 1437
59 69 1438
59 70 1439
60 68 1437
60 69 1438
61 67 1439
61 68 1437
62 66 1438
62 67 1439
63 65 1437
63 66 1438
64 65 1439
1 29 1500
1 30 1536
2 28 1537
2 29 1535
3 27 1536
3 28 1537
4 26 1535
4 27 1536
5 25 1537
5 26 1535
6 24 1536
6 25 1537
7 23 1535
7 24 1536
8 22 1537
8 23 1535
9 21 1536
9 22 1537
10 20 1535
10 21 1536
11 19 1537
11 20 1535
12 18 1536
12 19 1537
13 17 1535
13 18 1536
14 16 1537
14 17 1535
15 16 1536
30 100 1537
31 99 1535
31 100 1536
32 98 1537
32 99 1535
33 97 1536
33 98 1537
34 96 1535
34 97 1536
35 95 1537
35 96 1535
36 94 1536
36 95 1537
37 93 1535
37 94 1536
38 92 1537
38 93 1535
39 91 1536
39 92 1537
40 90 1535
40 91 1536
41 89 1537
41 90 1535
42 88 1536
42 89 1537
43 87 1535
43 88 1536
44 86 1537
44 87 1535
45 85 1536
45 86 1537
46 84 1535
46 85 1536
47 83 1537
47 84 1535
48 82 1536
48 83 1537
49 81 1535
49 82 1536
50 80 1537
50 81 1535
51 79 1536
51 80 1537
52 78 1535
52 79 1536
53 77 1537
53 78 1535
54 76 1536
54 77 1537
55 75 1535
55 76 1536
56 74 1537
56 75 1535
57 73 1536
57 74 1537
58 72 1535
58 73 1536
59 71 1537
59 72 1535
60 70 1536
60 71 1537
61 69 1535
61 70 1536
62 68 1537
62 69 1535
63 67 1536
63 68 1537
64 66 1535
64 67 1536
65 66 1537
1 31 1600
1 32 1634
2 30 1635
2 31 1633
3 29 1634
3 30 1635
4 28 1633
4 29 1634
5 27 1635
5 28 1633
6 26 1634
6 27 1635
7 25 1633
7 26 1634
8 24 1635
8 25 1633
9 23 1634
9 24 1635
10 22 1633
10 23 1634
11 21 1635
11 22 1633
12 20 1634
12 21 1635
13 19 1633
13 20 1634
14 18 1635
14 19 1633
15 17 1634
15 18 1635
16 17 1633
32 100 1634
33 99 1635
33 100 1633
34 98 1634
34 99 1635
35 97 1633
35 98 1634
36 96 1635
36 97 1633
37 95 1634
37 96 1635
38 94 1633
38 95 1634
39 93 1635
39 94 1633
40 92 1634
40 93 1635
41 91 1633
41 92 1634
42 90 1635
42 91 1633
43 89 1634
43 90 1635
44 88 1633
44 89 1634
45 87 1635
45 88 1633
46 86 1634
46 87 1635
47 85 1633
47 86 1634
48 84 1635
48 85 1633
49 83 1634
49 84 1635
50 82 1633
50 83 1634
51 81 1635
51 82 1633
52 80 1634
52 81 1635
53 79 1633
53 80 1634
54 78 1635
54 79 1633
55 77 1634
55 78 1635
56 76 1633
56 77 1634
57 75 1635
57 76 1633
58 74 1634
58 75 1635
59 73 1633
59 74 1634
60 72 1635
60 73 1633
61 71 1634
61 72 1635
62 70 1633
62 71 1634
63 69 1635
63 70 1633
64 68 1634
64 69 1635
65 67 1633
65 68 1634
66 67 1635
1 33 1700
1 34 1732
2 32 1733
2 33 1731
3 31 1732
3 32 1733
4 30 1731
4 31 1732
5 29 1733
5 30 1731
6 28 1732
6 29 1733
7 27 1731
7 28 1732
8 26 1733
8 27 1731
9 25 1732
9 26 1733
10 24 1731
10 25 1732
11 23 1733
11 24 1731
12 22 1732
12 23 1733
13 21 1731
13 22 1732
14 20 1733
14 21 1731
15 19 1732
15 20 1733
16 18 1731
16 19 1732
17 18 1733
34 100 1731
35 99 1732
35 100 1733
36 98 1731
36 99 1732
37 97 1733
37 98 1731
38 96 1732
38 97 1733
39 95 1731
39 96 1732
40 94 1733
40 95 1731
41 93 1732
41 94 1733
42 92 1731
42 93 1732
43 91 1733
43 92 1731
44 90 1732
44 91 1733
45 89 1731
45 90 1732
46 88 1733
46 89 1731
47 87 1732
47 88 1733
48 86 1731
48 87 1732
49 85 1733
49 86 1731
50 84 1732
50 85 1733
51 83 1731
51 84 1732
52 82 1733
52 83 1731
53 81 1732
53 82 1733
54 80 1731
54 81 1732
55 79 1733
55 80 1731
56 78 1732
56 79 1733
57 77 1731
57 78 1732
58 76 1733
58 77 1731
59 75 1732
59 76 1733
60 74 1731
60 75 1732
61 73 1733
61 74 1731
62 72 1732
62 73 1733
63 71 1731
63 72 1732
64 70 1733
64 71 1731
65 69 1732
65 70 1733
66 68 1731
66 69 1732
67 68 1733
1 35 1800
1 36 1830
2 34 1831
2 35 1829
3 33 1830
3 34 1831
4 32 1829
4 33 1830
5 31 1831
5 32 1829
6 30 1830
6 31 1831
7 29 1829
7 30 1830
8 28 1831
8 29 1829
9 27 1830
9 28 1831
10 26 1829
10 27 1830
11 25 1831
11 26 1829
12 24 1830
12 25 1831
13 23 1829
13 24 1830
14 22 1831
14 23 1829
15 21 1830
15 22 1831
16 20 1829
16 21 1830
17 19 1831
17 20 1829
18 19 1830
36 100 1831
37 99 1829
37 100 1830
38 98 1831
38 99 1829
39 97 1830
39 98 1831
40 96 1829
40 97 1830
41 95 1831
41 96 1829
42 94 1830
42 95 1831
43 93 1829
43 94 1830
44 92 1831
44 93 1829
45 91 1830
45 92 1831
46 90 1829
46 91 1830
47 89 1831
47 90 1829
48 88 1830
48 89 1831
49 87 1829
49 88 1830
50 86 1831
50 87 1829
51 85 1830
51 86 1831
52 84 1829
52 85 1830
53 83 1831
53 84 1829
54 82 1830
54 83 1831
55 81 1829
55 82 1830
56 80 1831
56 81 1829
57 79 1830
57 80 1831
58 78 1829
58 79 1830
59 77 1831
59 78 1829
60 76 1830
60 77 1831
61 75 1829
61 76 1830
62 74 1831
62 75 1829
63 73 1830
63 74 1831
64 72 1829
64 73 1830
65 71 1831
65 72 1829
66 70 1830
66 71 1831
67 69 1829
67 70 1830
68 69 1831
1 37 1900
1 38 1928
2 36 1929
2 37 1927
3 35 1928
3 36 1929
4 34 1927
4 35 1928
5 33 1929
5 34 1927
6 32 1928
6 33 1929
7 31 1927
7 32 1928
8 30 1929
8 31 1927
9 29 1928
9 30 1929
10 28 1927
10 29 1928
11 27 1929
11 28 1927
12 26 1928
12 27 1929
13 25 1927
13 26 1928
14 24 1929
14 25 1927
15 23 1928
15 24 1929
16 22 1927
16 23 1928
17 21 1929
17 22 1927
18 20 1928
18 21 1929
19 20 1927
38 100 1928
39 99 1929
39 100 1927
40 98 1928
40 99 1929
41 97 1927
41 98 1928
42 96 1929
42 97 1927
43 95 1928
43 96 1929
44 94 1927
44 95 1928
45 93 1929
45 94 1927
46 92 1928
46 93 1929
47 91 1927
47 92 1928
48 90 1929
48 91 1927
49 89 1928
49 90 1929
50 88 1927
50 89 1928
51 87 1929
51 88 1927
52 86 1928
52 87 1929
53 85 1927
53 86 1928
54 84 1929
54 85 1927
55 83 1928
55 84 1929
56 82 1927
56 83 1928
57 81 1929
57 82 1927
58 80 1928
58 81 1929
59 79 1927
59 80 1928
60 78 1929
60 79 1927
61 77 1928
61 78 1929
62 76 1927
62 77 1928
63 75 1929
63 76 1927
64 74 1928
64 75 1929
65 73 1927
65 74 1928
66 72 1929
66 73 1927
67 71 1928
67 72 1929
68 70 1927
68 71 1928
69 70 1929
1 39 2000
1 40 2026
2 38 2027
2 39 2025
3 37 2026
3 38 2027
4 36 2025
4 37 2026
5 35 2027
5 36 2025
6 34 2026
6 35 2027
7 33 2025
7 34 2026
8 32 2027
8 33 2025
9 31 2026
9 32 2027
10 30 2025
10 31 2026
11 29 2027
11 30 2025
12 28 2026
12 29 2027
13 27 2025
13 28 2026
14 26 2027
14 27 2025
15 25 2026
15 26 2027
16 24 2025
16 25 2026
17 23 2027
17 24 2025
18 22 2026
18 23 2027
19 21 2025
19 22 2026
20 21 2027
40 100 2025
41 99 2026
41 100 2027
42 98 2025
42 99 2026
43 97 2027
43 98 2025
44 96 2026
44 97 2027
45 95 2025
45 96 2026
46 94 2027
46 95 2025
47 93 2026
47 94 2027
48 92 2025
48 93 2026
49 91 2027
49 92 2025
50 90 2026
50 91 2027
51 89 2025
51 90 2026
52 88 2027
52 89 2025
53 87 2026
53 88 2027
54 86 2025
54 87 2026
55 85 2027
55 86 2025
56 84 2026
56 85 2027
57 83 2025
57 84 2026
58 82 2027
58 83 2025
59 81 2026
59 82 2027
60 80 2025
60 81 2026
61 79 2027
61 80 2025
62 78 2026
62 79 2027
63 77 2025
63 78 2026
64 76 2027
64 77 2025
65 75 2026
65 76 2027
66 74 2025
66 75 2026
67 73 2027
67 74 2025
68 72 2026
68 73 2027
69 71 2025
69 72 2026
70 71 2027
1 41 2100
1 42 2124
2 40 2125
2 41 2123
3 39 2124
3 40 2125
4 38 2123
4 39 2124
5 37 2125
5 38 2123
6 36 2124
6 37 2125
7 35 2123
7 36 2124
8 34 2125
8 35 2123
9 33 2124
9 34 2125
10 32 2123
10 33 2124
11 31 2125
11 32 2123
12 30 2124
12 31 2125
13 29 2123
13 30 2124
14 28 2125
14 29 2123
15 27 2124
15 28 2125
16 26 2123
16 27 2124
17 25 2125
17 26 2123
18 24 2124
18 25 2125
19 23 2123
19 24 2124
20 22 2125
20 23 2123
21 22 2124
42 100 2125
43 99 2123
43 100 2124
44 98 2125
44 99 2123
45 97 2124
45 98 2125
46 96 2123
46 97 2124
47 95 2125
47 96 2123
48 94 2124
48 95 2125
49 93 2123
49 94 2124
50 92 2125
50 93 2123
51 91 2124
51 92 2125
52 90 2123
52 91 2124
53 89 2125
53 90 2123
54 88 2124
54 89 2125
55 87 2123
55 88 2124
56 86 2125
56 87 2123
57 85 2124
57 86 2125
58 84 2123
58 85 2124
59 83 2125
59 84 2123
60 82 2124
60 83 2125
61 81 2123
61 82 2124
62 80 2125
62 81 2123
63 79 2124
63 80 2125
64 78 2123
64 79 2124
65 77 2125
65 78 2123
